model,context_id,human_average_rating,response,prevgt,all_references,context
dualencoder_train,23_10,1.0,"i called the electronics shop to find out what time they close , and it took me twenty minutes to get what i wanted !","i know it does , and that 's because it is .","yes , it is very good and pretty healthy .	it is good , you should come over and i will make you dinner .	thanks , it 's been a struggle , but i am starting to see results .	i know it does , and that 's because it is .","i really need to start eating healthier .||||i have to start eating better too .||||what kind of food do you usually eat ?||||i try my best to eat only fruits , vegetables , and chicken .||||is that really all that you eat ?||||that 's basically it .||||how do you stick to only those foods ?||||actually , fruits and veggies are really good for you .||||yeah , i know , but what about the chicken ?||||i mainly eat baked chicken , because there 's not a lot of fat .||||that does sound pretty good ."
CVAEf,53_0,1.4,"ok , i 'll take you through the _UNK .",sure . just leave it to me . i 'll finish it .,"yes , sure . when do you need it ?	absolutely ? by when would you like to see it ?	that 's fine . at what time do you leave ?	sure . just leave it to me . i 'll finish it .",gary . could you type up this report for me ? i have to take off early this afternoon .
human,53_0,2.2,i can just give it to me before you leave,sure . just leave it to me . i 'll finish it .,"yes , sure . when do you need it ?	absolutely ? by when would you like to see it ?	that 's fine . at what time do you leave ?	sure . just leave it to me . i 'll finish it .",gary . could you type up this report for me ? i have to take off early this afternoon .
dualencoder_train,53_0,3.6666666666666665,"ok , no problem . but you have to learn it and then do it yourself next time .",sure . just leave it to me . i 'll finish it .,"yes , sure . when do you need it ?	absolutely ? by when would you like to see it ?	that 's fine . at what time do you leave ?	sure . just leave it to me . i 'll finish it .",gary . could you type up this report for me ? i have to take off early this afternoon .
seq2seqf,53_0,5.0,no problem .,sure . just leave it to me . i 'll finish it .,"yes , sure . when do you need it ?	absolutely ? by when would you like to see it ?	that 's fine . at what time do you leave ?	sure . just leave it to me . i 'll finish it .",gary . could you type up this report for me ? i have to take off early this afternoon .
hredf,53_0,3.0,sure . what 's the problem ?,sure . just leave it to me . i 'll finish it .,"yes , sure . when do you need it ?	absolutely ? by when would you like to see it ?	that 's fine . at what time do you leave ?	sure . just leave it to me . i 'll finish it .",gary . could you type up this report for me ? i have to take off early this afternoon .
human,69_9,4.5,do you have any place safe you can wait while the police arrive ?,we 'll send a squad car shortly .,are you sure someone just did n't throw a ball into the window ?	was anyone hurt ?	is anything else broken ?	we 'll send a squad car shortly .,911 emergency . what is the problem ?||||i would like to report a break - in .||||when was this break - in ?||||i believe it happened last night .||||where was the break - in ?||||it happened at my house .||||was anything stolen ?||||i have n't checked yet .||||why do you think there was a break - in ?||||my front window was broken .
CVAEf,69_9,4.25,did you get hurt ?,we 'll send a squad car shortly .,are you sure someone just did n't throw a ball into the window ?	was anyone hurt ?	is anything else broken ?	we 'll send a squad car shortly .,911 emergency . what is the problem ?||||i would like to report a break - in .||||when was this break - in ?||||i believe it happened last night .||||where was the break - in ?||||it happened at my house .||||was anything stolen ?||||i have n't checked yet .||||why do you think there was a break - in ?||||my front window was broken .
seq2seqf,69_9,3.3333333333333335,what did you do ?,we 'll send a squad car shortly .,are you sure someone just did n't throw a ball into the window ?	was anyone hurt ?	is anything else broken ?	we 'll send a squad car shortly .,911 emergency . what is the problem ?||||i would like to report a break - in .||||when was this break - in ?||||i believe it happened last night .||||where was the break - in ?||||it happened at my house .||||was anything stolen ?||||i have n't checked yet .||||why do you think there was a break - in ?||||my front window was broken .
dualencoder_train,69_9,1.6666666666666667,"oh , i see . maybe we can fit you in at 3 .",we 'll send a squad car shortly .,are you sure someone just did n't throw a ball into the window ?	was anyone hurt ?	is anything else broken ?	we 'll send a squad car shortly .,911 emergency . what is the problem ?||||i would like to report a break - in .||||when was this break - in ?||||i believe it happened last night .||||where was the break - in ?||||it happened at my house .||||was anything stolen ?||||i have n't checked yet .||||why do you think there was a break - in ?||||my front window was broken .
hredf,69_9,2.0,i was worried about that .,we 'll send a squad car shortly .,are you sure someone just did n't throw a ball into the window ?	was anyone hurt ?	is anything else broken ?	we 'll send a squad car shortly .,911 emergency . what is the problem ?||||i would like to report a break - in .||||when was this break - in ?||||i believe it happened last night .||||where was the break - in ?||||it happened at my house .||||was anything stolen ?||||i have n't checked yet .||||why do you think there was a break - in ?||||my front window was broken .
dualencoder_train,38_0,1.0,"gee , i do n't think i own any red underwear , but i can buy some !","i am not cheating . when you pass go , you collect $ 200 , everyone knows that !","no i did n't take that money !	why do you think i took the money ?	yes , i took it and you 'll never be able to prove it .	i am not cheating . when you pass go , you collect $ 200 , everyone knows that !",hey . why did you take that money ? you are such a cheater ! i should send you to jail !
CVAEf,38_0,1.2,i just want to know if i 'm not a clock .,"i am not cheating . when you pass go , you collect $ 200 , everyone knows that !","no i did n't take that money !	why do you think i took the money ?	yes , i took it and you 'll never be able to prove it .	i am not cheating . when you pass go , you collect $ 200 , everyone knows that !",hey . why did you take that money ? you are such a cheater ! i should send you to jail !
hredf,38_0,2.0,i was just thinking about it .,"i am not cheating . when you pass go , you collect $ 200 , everyone knows that !","no i did n't take that money !	why do you think i took the money ?	yes , i took it and you 'll never be able to prove it .	i am not cheating . when you pass go , you collect $ 200 , everyone knows that !",hey . why did you take that money ? you are such a cheater ! i should send you to jail !
human,38_0,3.4,that 's mean .,"i am not cheating . when you pass go , you collect $ 200 , everyone knows that !","no i did n't take that money !	why do you think i took the money ?	yes , i took it and you 'll never be able to prove it .	i am not cheating . when you pass go , you collect $ 200 , everyone knows that !",hey . why did you take that money ? you are such a cheater ! i should send you to jail !
seq2seqf,38_0,2.0,i 'm not sure . i 'm not sure .,"i am not cheating . when you pass go , you collect $ 200 , everyone knows that !","no i did n't take that money !	why do you think i took the money ?	yes , i took it and you 'll never be able to prove it .	i am not cheating . when you pass go , you collect $ 200 , everyone knows that !",hey . why did you take that money ? you are such a cheater ! i should send you to jail !
seq2seqf,45_10,2.2,i 'm afraid you 'll have to pay for it .,"ok , here you go . that will be 18 pounds and seventy two pence .","okay , we can get you some regular stamps .	then they will be more expensive .	are you sending them anywhere else ?	ok , here you go . that will be 18 pounds and seventy two pence .","excuse me , could you tell me which line i 'm supposed to stand in to buy bubble wrap and to post a package ?||||you can buy the bubble wrap here , but you 'll have to stand in line over here to post your passage .||||that 's a really long line . how long do you think it 'll take to get through all those people ?||||it takes about 3 minutes per person , so it 'll probably be about an hour 's wait .||||can i buy stamps here ?||||sure . how many would you like ?||||i need 30 for my christmas cards .||||are you sending them abroad ?||||twenty of them are going abroad to china and america .||||do you have any going anywhere in the eu ? if you do , those are less expensive .||||no ."
CVAEf,45_10,3.0,ok . you can get a pay tube of the items .,"ok , here you go . that will be 18 pounds and seventy two pence .","okay , we can get you some regular stamps .	then they will be more expensive .	are you sending them anywhere else ?	ok , here you go . that will be 18 pounds and seventy two pence .","excuse me , could you tell me which line i 'm supposed to stand in to buy bubble wrap and to post a package ?||||you can buy the bubble wrap here , but you 'll have to stand in line over here to post your passage .||||that 's a really long line . how long do you think it 'll take to get through all those people ?||||it takes about 3 minutes per person , so it 'll probably be about an hour 's wait .||||can i buy stamps here ?||||sure . how many would you like ?||||i need 30 for my christmas cards .||||are you sending them abroad ?||||twenty of them are going abroad to china and america .||||do you have any going anywhere in the eu ? if you do , those are less expensive .||||no ."
dualencoder_train,45_10,4.333333333333333,"okay , i can give you a special discount , just because you seem like a nice person . one hundred and ninety dollars for both .","ok , here you go . that will be 18 pounds and seventy two pence .","okay , we can get you some regular stamps .	then they will be more expensive .	are you sending them anywhere else ?	ok , here you go . that will be 18 pounds and seventy two pence .","excuse me , could you tell me which line i 'm supposed to stand in to buy bubble wrap and to post a package ?||||you can buy the bubble wrap here , but you 'll have to stand in line over here to post your passage .||||that 's a really long line . how long do you think it 'll take to get through all those people ?||||it takes about 3 minutes per person , so it 'll probably be about an hour 's wait .||||can i buy stamps here ?||||sure . how many would you like ?||||i need 30 for my christmas cards .||||are you sending them abroad ?||||twenty of them are going abroad to china and america .||||do you have any going anywhere in the eu ? if you do , those are less expensive .||||no ."
hredf,45_10,4.0,ok .,"ok , here you go . that will be 18 pounds and seventy two pence .","okay , we can get you some regular stamps .	then they will be more expensive .	are you sending them anywhere else ?	ok , here you go . that will be 18 pounds and seventy two pence .","excuse me , could you tell me which line i 'm supposed to stand in to buy bubble wrap and to post a package ?||||you can buy the bubble wrap here , but you 'll have to stand in line over here to post your passage .||||that 's a really long line . how long do you think it 'll take to get through all those people ?||||it takes about 3 minutes per person , so it 'll probably be about an hour 's wait .||||can i buy stamps here ?||||sure . how many would you like ?||||i need 30 for my christmas cards .||||are you sending them abroad ?||||twenty of them are going abroad to china and america .||||do you have any going anywhere in the eu ? if you do , those are less expensive .||||no ."
human,45_10,4.666666666666667,"okay , no problem , let me get you your stamps .","ok , here you go . that will be 18 pounds and seventy two pence .","okay , we can get you some regular stamps .	then they will be more expensive .	are you sending them anywhere else ?	ok , here you go . that will be 18 pounds and seventy two pence .","excuse me , could you tell me which line i 'm supposed to stand in to buy bubble wrap and to post a package ?||||you can buy the bubble wrap here , but you 'll have to stand in line over here to post your passage .||||that 's a really long line . how long do you think it 'll take to get through all those people ?||||it takes about 3 minutes per person , so it 'll probably be about an hour 's wait .||||can i buy stamps here ?||||sure . how many would you like ?||||i need 30 for my christmas cards .||||are you sending them abroad ?||||twenty of them are going abroad to china and america .||||do you have any going anywhere in the eu ? if you do , those are less expensive .||||no ."
dualencoder_train,43_2,2.6,it is ok with me . so i will be arriving at your office around two fifteen pm .,"yes , a very pleasant journey indeed . thank you .","yes it was a lovely time in new york .	it was good but , as always , i 'm glad to be back home now .	it was a short trip but i made the most of it .	yes , a very pleasant journey indeed . thank you .","hello , mr . black , how are you ?||||fine , thank you , and how are you ?||||very well , thank you . it 's nice to meet you again . i am awfully sorry for not being able to meet you at the airport , as i was busy yesterday . i do hope you had a very enjoyable trip from new york ."
hredf,43_2,1.8,i 'm sorry to hear that . what are you going to do ?,"yes , a very pleasant journey indeed . thank you .","yes it was a lovely time in new york .	it was good but , as always , i 'm glad to be back home now .	it was a short trip but i made the most of it .	yes , a very pleasant journey indeed . thank you .","hello , mr . black , how are you ?||||fine , thank you , and how are you ?||||very well , thank you . it 's nice to meet you again . i am awfully sorry for not being able to meet you at the airport , as i was busy yesterday . i do hope you had a very enjoyable trip from new york ."
CVAEf,43_2,2.25,"oh , i see . is there any reason you want to come ?","yes , a very pleasant journey indeed . thank you .","yes it was a lovely time in new york .	it was good but , as always , i 'm glad to be back home now .	it was a short trip but i made the most of it .	yes , a very pleasant journey indeed . thank you .","hello , mr . black , how are you ?||||fine , thank you , and how are you ?||||very well , thank you . it 's nice to meet you again . i am awfully sorry for not being able to meet you at the airport , as i was busy yesterday . i do hope you had a very enjoyable trip from new york ."
human,43_2,4.75,the trip was great and no worries at all !,"yes , a very pleasant journey indeed . thank you .","yes it was a lovely time in new york .	it was good but , as always , i 'm glad to be back home now .	it was a short trip but i made the most of it .	yes , a very pleasant journey indeed . thank you .","hello , mr . black , how are you ?||||fine , thank you , and how are you ?||||very well , thank you . it 's nice to meet you again . i am awfully sorry for not being able to meet you at the airport , as i was busy yesterday . i do hope you had a very enjoyable trip from new york ."
seq2seqf,43_2,2.75,"yes , i did . i 've been here for a long time .","yes , a very pleasant journey indeed . thank you .","yes it was a lovely time in new york .	it was good but , as always , i 'm glad to be back home now .	it was a short trip but i made the most of it .	yes , a very pleasant journey indeed . thank you .","hello , mr . black , how are you ?||||fine , thank you , and how are you ?||||very well , thank you . it 's nice to meet you again . i am awfully sorry for not being able to meet you at the airport , as i was busy yesterday . i do hope you had a very enjoyable trip from new york ."
human,7_6,4.0,what is influenza ?,what am i supposed to do then ?,can i take medicine for it ?	how long will it last	oh no !   can you check again ?	what am i supposed to do then ?,"good morning . what 's the matter with you ?||||good morning , doctor . i have a terrible headache .||||all right , young man . tell me how it got started .||||yesterday i had a runny nose . now my nose is stuffed up . i have a sore throat . and i 'm afraid i 've got a temperature . i feel terrible .||||do n't worry , young man . lat me give you an examination . first let me take a look at your throat . open your mouth and say'ah ' .||||ah .||||your throat is inflamed . and your tongue is heavily coated . you have all the symptoms of influenza ."
seq2seqf,7_6,1.4,i do n't know .,what am i supposed to do then ?,can i take medicine for it ?	how long will it last	oh no !   can you check again ?	what am i supposed to do then ?,"good morning . what 's the matter with you ?||||good morning , doctor . i have a terrible headache .||||all right , young man . tell me how it got started .||||yesterday i had a runny nose . now my nose is stuffed up . i have a sore throat . and i 'm afraid i 've got a temperature . i feel terrible .||||do n't worry , young man . lat me give you an examination . first let me take a look at your throat . open your mouth and say'ah ' .||||ah .||||your throat is inflamed . and your tongue is heavily coated . you have all the symptoms of influenza ."
CVAEf,7_6,1.6,"i have lemonade , doctor .",what am i supposed to do then ?,can i take medicine for it ?	how long will it last	oh no !   can you check again ?	what am i supposed to do then ?,"good morning . what 's the matter with you ?||||good morning , doctor . i have a terrible headache .||||all right , young man . tell me how it got started .||||yesterday i had a runny nose . now my nose is stuffed up . i have a sore throat . and i 'm afraid i 've got a temperature . i feel terrible .||||do n't worry , young man . lat me give you an examination . first let me take a look at your throat . open your mouth and say'ah ' .||||ah .||||your throat is inflamed . and your tongue is heavily coated . you have all the symptoms of influenza ."
hredf,7_6,1.2,thank you for inviting me .,what am i supposed to do then ?,can i take medicine for it ?	how long will it last	oh no !   can you check again ?	what am i supposed to do then ?,"good morning . what 's the matter with you ?||||good morning , doctor . i have a terrible headache .||||all right , young man . tell me how it got started .||||yesterday i had a runny nose . now my nose is stuffed up . i have a sore throat . and i 'm afraid i 've got a temperature . i feel terrible .||||do n't worry , young man . lat me give you an examination . first let me take a look at your throat . open your mouth and say'ah ' .||||ah .||||your throat is inflamed . and your tongue is heavily coated . you have all the symptoms of influenza ."
dualencoder_train,7_6,1.0,i see . come here . the high heels here look really attractive . but i wonder whether it 's comfortable to wear any of them ?,what am i supposed to do then ?,can i take medicine for it ?	how long will it last	oh no !   can you check again ?	what am i supposed to do then ?,"good morning . what 's the matter with you ?||||good morning , doctor . i have a terrible headache .||||all right , young man . tell me how it got started .||||yesterday i had a runny nose . now my nose is stuffed up . i have a sore throat . and i 'm afraid i 've got a temperature . i feel terrible .||||do n't worry , young man . lat me give you an examination . first let me take a look at your throat . open your mouth and say'ah ' .||||ah .||||your throat is inflamed . and your tongue is heavily coated . you have all the symptoms of influenza ."
hredf,17_1,1.5,"i see . well , if you want to order your room , you can make sure that you have a luncheon order .",anything wrong with it ?,"is there a problem with it ?	yes , i recognize you from yesterday .	and how may i assist you with it ?	anything wrong with it ?","good evening , madam . can i help you ?||||yes . i bought this sheet here yesterday ."
human,17_1,4.6,were you hoping to make a return or an exchange ?,anything wrong with it ?,"is there a problem with it ?	yes , i recognize you from yesterday .	and how may i assist you with it ?	anything wrong with it ?","good evening , madam . can i help you ?||||yes . i bought this sheet here yesterday ."
dualencoder_train,17_1,1.5,that 's fine . do you have any specials for your guests ?,anything wrong with it ?,"is there a problem with it ?	yes , i recognize you from yesterday .	and how may i assist you with it ?	anything wrong with it ?","good evening , madam . can i help you ?||||yes . i bought this sheet here yesterday ."
seq2seqf,17_1,4.0,what 's your problem ?,anything wrong with it ?,"is there a problem with it ?	yes , i recognize you from yesterday .	and how may i assist you with it ?	anything wrong with it ?","good evening , madam . can i help you ?||||yes . i bought this sheet here yesterday ."
CVAEf,17_1,2.5,all right . would you like to try this one ?,anything wrong with it ?,"is there a problem with it ?	yes , i recognize you from yesterday .	and how may i assist you with it ?	anything wrong with it ?","good evening , madam . can i help you ?||||yes . i bought this sheet here yesterday ."
hredf,51_7,1.4,she is a little bit .,the first thing i noticed was her beautiful brown eyes .,she has beautiful long brown hair .	she kind of looks like megan fox in a weird way .	she has really pretty blue eyes .	the first thing i noticed was her beautiful brown eyes .,"there 's a new girl in school , have you seen her yet ?||||i have n't seen her yet .||||i think that she is very pretty .||||tell me how she looks .||||she 's kind of short .||||what height is she ?||||she 's probably about five feet .||||that 's nice , but tell me what she looks like ."
seq2seqf,51_7,1.2,i know .,the first thing i noticed was her beautiful brown eyes .,she has beautiful long brown hair .	she kind of looks like megan fox in a weird way .	she has really pretty blue eyes .	the first thing i noticed was her beautiful brown eyes .,"there 's a new girl in school , have you seen her yet ?||||i have n't seen her yet .||||i think that she is very pretty .||||tell me how she looks .||||she 's kind of short .||||what height is she ?||||she 's probably about five feet .||||that 's nice , but tell me what she looks like ."
CVAEf,51_7,1.0,"she 's not good at remembering , too .",the first thing i noticed was her beautiful brown eyes .,she has beautiful long brown hair .	she kind of looks like megan fox in a weird way .	she has really pretty blue eyes .	the first thing i noticed was her beautiful brown eyes .,"there 's a new girl in school , have you seen her yet ?||||i have n't seen her yet .||||i think that she is very pretty .||||tell me how she looks .||||she 's kind of short .||||what height is she ?||||she 's probably about five feet .||||that 's nice , but tell me what she looks like ."
dualencoder_train,51_7,1.2,"right now he speaks mostly chinese , and he can say a few english words . but he will learn .",the first thing i noticed was her beautiful brown eyes .,she has beautiful long brown hair .	she kind of looks like megan fox in a weird way .	she has really pretty blue eyes .	the first thing i noticed was her beautiful brown eyes .,"there 's a new girl in school , have you seen her yet ?||||i have n't seen her yet .||||i think that she is very pretty .||||tell me how she looks .||||she 's kind of short .||||what height is she ?||||she 's probably about five feet .||||that 's nice , but tell me what she looks like ."
human,51_7,4.0,she had blonde hair and wears cool rock shirts and is thing,the first thing i noticed was her beautiful brown eyes .,she has beautiful long brown hair .	she kind of looks like megan fox in a weird way .	she has really pretty blue eyes .	the first thing i noticed was her beautiful brown eyes .,"there 's a new girl in school , have you seen her yet ?||||i have n't seen her yet .||||i think that she is very pretty .||||tell me how she looks .||||she 's kind of short .||||what height is she ?||||she 's probably about five feet .||||that 's nice , but tell me what she looks like ."
hredf,37_5,2.8,"yes , i see . i 'll have to put it in the account .","no , i 'm afraid that is n't possible . you must wait until maturity before you cash them .","yes , as long as you bring your i d at that time .	no , i 'm sorry . you 'll have to wait until it matures .	if you cash them prior to maturity you will be subject to a fee .	no , i 'm afraid that is n't possible . you must wait until maturity before you cash them .","good afternoon . can i be of service ?||||i do n't know . can i purchase treasury certificates here at this counter ?||||yes , of course . we have treasury notes with two , three and five - year terms available .||||two years is fine , with a value of 1,000 rib .||||ok , could i take a look at some i d please , like a passport ?||||here you go . by the way , is it possible to cash them before the maturity comes up ?"
dualencoder_train,37_5,1.0,of course . here is our thickening mascara . we also have mascara designed to lengthen the eyelashes .,"no , i 'm afraid that is n't possible . you must wait until maturity before you cash them .","yes , as long as you bring your i d at that time .	no , i 'm sorry . you 'll have to wait until it matures .	if you cash them prior to maturity you will be subject to a fee .	no , i 'm afraid that is n't possible . you must wait until maturity before you cash them .","good afternoon . can i be of service ?||||i do n't know . can i purchase treasury certificates here at this counter ?||||yes , of course . we have treasury notes with two , three and five - year terms available .||||two years is fine , with a value of 1,000 rib .||||ok , could i take a look at some i d please , like a passport ?||||here you go . by the way , is it possible to cash them before the maturity comes up ?"
seq2seqf,37_5,1.4,"yes , i have . i have to pay my credit card .","no , i 'm afraid that is n't possible . you must wait until maturity before you cash them .","yes , as long as you bring your i d at that time .	no , i 'm sorry . you 'll have to wait until it matures .	if you cash them prior to maturity you will be subject to a fee .	no , i 'm afraid that is n't possible . you must wait until maturity before you cash them .","good afternoon . can i be of service ?||||i do n't know . can i purchase treasury certificates here at this counter ?||||yes , of course . we have treasury notes with two , three and five - year terms available .||||two years is fine , with a value of 1,000 rib .||||ok , could i take a look at some i d please , like a passport ?||||here you go . by the way , is it possible to cash them before the maturity comes up ?"
human,37_5,4.6,yes,"no , i 'm afraid that is n't possible . you must wait until maturity before you cash them .","yes , as long as you bring your i d at that time .	no , i 'm sorry . you 'll have to wait until it matures .	if you cash them prior to maturity you will be subject to a fee .	no , i 'm afraid that is n't possible . you must wait until maturity before you cash them .","good afternoon . can i be of service ?||||i do n't know . can i purchase treasury certificates here at this counter ?||||yes , of course . we have treasury notes with two , three and five - year terms available .||||two years is fine , with a value of 1,000 rib .||||ok , could i take a look at some i d please , like a passport ?||||here you go . by the way , is it possible to cash them before the maturity comes up ?"
CVAEf,37_5,2.8,certainly . here you are . and here 's the money .,"no , i 'm afraid that is n't possible . you must wait until maturity before you cash them .","yes , as long as you bring your i d at that time .	no , i 'm sorry . you 'll have to wait until it matures .	if you cash them prior to maturity you will be subject to a fee .	no , i 'm afraid that is n't possible . you must wait until maturity before you cash them .","good afternoon . can i be of service ?||||i do n't know . can i purchase treasury certificates here at this counter ?||||yes , of course . we have treasury notes with two , three and five - year terms available .||||two years is fine , with a value of 1,000 rib .||||ok , could i take a look at some i d please , like a passport ?||||here you go . by the way , is it possible to cash them before the maturity comes up ?"
seq2seqf,21_3,4.0,thank you .,besides i want two copies of all the photos .,what time would i be able to pick them up	how much will it cost to process the film	should i call before i come in to get them ?	besides i want two copies of all the photos .,can i have the roll of film developed here ?||||surely of course .||||here is the film . can i get my pictures tomorrow ?||||sure .
hredf,21_3,4.0,thank you .,besides i want two copies of all the photos .,what time would i be able to pick them up	how much will it cost to process the film	should i call before i come in to get them ?	besides i want two copies of all the photos .,can i have the roll of film developed here ?||||surely of course .||||here is the film . can i get my pictures tomorrow ?||||sure .
human,21_3,4.4,thanks . can i call you before coming to collect it,besides i want two copies of all the photos .,what time would i be able to pick them up	how much will it cost to process the film	should i call before i come in to get them ?	besides i want two copies of all the photos .,can i have the roll of film developed here ?||||surely of course .||||here is the film . can i get my pictures tomorrow ?||||sure .
dualencoder_train,21_3,1.4,how about this blue sweater ?,besides i want two copies of all the photos .,what time would i be able to pick them up	how much will it cost to process the film	should i call before i come in to get them ?	besides i want two copies of all the photos .,can i have the roll of film developed here ?||||surely of course .||||here is the film . can i get my pictures tomorrow ?||||sure .
CVAEf,21_3,4.6,thank you .,besides i want two copies of all the photos .,what time would i be able to pick them up	how much will it cost to process the film	should i call before i come in to get them ?	besides i want two copies of all the photos .,can i have the roll of film developed here ?||||surely of course .||||here is the film . can i get my pictures tomorrow ?||||sure .
human,12_2,2.75,"oh , i 'm so sorry to hear that ! would you like to reschedule dinner out , or would you like to eat at home tonight ?",i 'll call the lost and found office .,its okay . now lets just hurry up	what bag did you lose ?	we can cancel if you would like	i 'll call the lost and found office .,i 'm sorry i 'm so late . i had a really bad day .||||it 's ten after six . we 're late . but dinner is at six thirty .||||i know . i know . i 'm really sorry . i lost my bag .
seq2seqf,12_2,2.5,what 's the problem ?,i 'll call the lost and found office .,its okay . now lets just hurry up	what bag did you lose ?	we can cancel if you would like	i 'll call the lost and found office .,i 'm sorry i 'm so late . i had a really bad day .||||it 's ten after six . we 're late . but dinner is at six thirty .||||i know . i know . i 'm really sorry . i lost my bag .
dualencoder_train,12_2,3.0,class starts in twenty minutes . you have to turn it in at the beginning of class today .,i 'll call the lost and found office .,its okay . now lets just hurry up	what bag did you lose ?	we can cancel if you would like	i 'll call the lost and found office .,i 'm sorry i 'm so late . i had a really bad day .||||it 's ten after six . we 're late . but dinner is at six thirty .||||i know . i know . i 'm really sorry . i lost my bag .
CVAEf,12_2,1.5,you have to get off this afternoon .,i 'll call the lost and found office .,its okay . now lets just hurry up	what bag did you lose ?	we can cancel if you would like	i 'll call the lost and found office .,i 'm sorry i 'm so late . i had a really bad day .||||it 's ten after six . we 're late . but dinner is at six thirty .||||i know . i know . i 'm really sorry . i lost my bag .
hredf,12_2,3.25,but i 'm sorry to hear that .,i 'll call the lost and found office .,its okay . now lets just hurry up	what bag did you lose ?	we can cancel if you would like	i 'll call the lost and found office .,i 'm sorry i 'm so late . i had a really bad day .||||it 's ten after six . we 're late . but dinner is at six thirty .||||i know . i know . i 'm really sorry . i lost my bag .
human,33_2,5.0,no i have not worked as a secretary,"yes , sir . i acted as a secretary in an insurance company .","the tasks my public relations position requires for success are extremely similar to the tasks required of a secretary . i 'm sure i would excel in the position .	not per se . however , i am apt at the skills necessary for a successful secretary .	every now and again i take the role of secretary at my current job .	yes , sir . i acted as a secretary in an insurance company .","have you got any experience in advertising ?||||yes , i have been working in the public relations section of a company in the past two years . i plan the advertising campaign and cooperate the work of artists and typographers . sometimes i have to do the work of a specialist when there 's something urgent .||||do you have any practical experience as a secretary ?"
CVAEf,33_2,2.4,"yes , i have . i like the design of my children and i think i am very interested in journalism .","yes , sir . i acted as a secretary in an insurance company .","the tasks my public relations position requires for success are extremely similar to the tasks required of a secretary . i 'm sure i would excel in the position .	not per se . however , i am apt at the skills necessary for a successful secretary .	every now and again i take the role of secretary at my current job .	yes , sir . i acted as a secretary in an insurance company .","have you got any experience in advertising ?||||yes , i have been working in the public relations section of a company in the past two years . i plan the advertising campaign and cooperate the work of artists and typographers . sometimes i have to do the work of a specialist when there 's something urgent .||||do you have any practical experience as a secretary ?"
dualencoder_train,33_2,2.0,"yeah , as long as i have a computer and internet access , i can start working . i recently enjoy working in my own place and at my own pace .","yes , sir . i acted as a secretary in an insurance company .","the tasks my public relations position requires for success are extremely similar to the tasks required of a secretary . i 'm sure i would excel in the position .	not per se . however , i am apt at the skills necessary for a successful secretary .	every now and again i take the role of secretary at my current job .	yes , sir . i acted as a secretary in an insurance company .","have you got any experience in advertising ?||||yes , i have been working in the public relations section of a company in the past two years . i plan the advertising campaign and cooperate the work of artists and typographers . sometimes i have to do the work of a specialist when there 's something urgent .||||do you have any practical experience as a secretary ?"
hredf,33_2,2.6,"yes , i have obtained some changes and knowledge .","yes , sir . i acted as a secretary in an insurance company .","the tasks my public relations position requires for success are extremely similar to the tasks required of a secretary . i 'm sure i would excel in the position .	not per se . however , i am apt at the skills necessary for a successful secretary .	every now and again i take the role of secretary at my current job .	yes , sir . i acted as a secretary in an insurance company .","have you got any experience in advertising ?||||yes , i have been working in the public relations section of a company in the past two years . i plan the advertising campaign and cooperate the work of artists and typographers . sometimes i have to do the work of a specialist when there 's something urgent .||||do you have any practical experience as a secretary ?"
seq2seqf,33_2,3.5,"yes , i have . i have been working in a company where i was in the states .","yes , sir . i acted as a secretary in an insurance company .","the tasks my public relations position requires for success are extremely similar to the tasks required of a secretary . i 'm sure i would excel in the position .	not per se . however , i am apt at the skills necessary for a successful secretary .	every now and again i take the role of secretary at my current job .	yes , sir . i acted as a secretary in an insurance company .","have you got any experience in advertising ?||||yes , i have been working in the public relations section of a company in the past two years . i plan the advertising campaign and cooperate the work of artists and typographers . sometimes i have to do the work of a specialist when there 's something urgent .||||do you have any practical experience as a secretary ?"
CVAEf,26_0,1.2,i think you should definitely learn more .,thank you . i wonder whether i can enjoy the life insurance and health insurance .,insurance ? what kind of insurance ?	you mean health insurance ?	i do have homeowners ' insurance and would like to discuss that .	thank you . i wonder whether i can enjoy the life insurance and health insurance .,today i want to invite you to talk about insurance you 're interested in .
seq2seqf,26_0,3.2,i 'm afraid i ca n't . i 'm not sure .,thank you . i wonder whether i can enjoy the life insurance and health insurance .,insurance ? what kind of insurance ?	you mean health insurance ?	i do have homeowners ' insurance and would like to discuss that .	thank you . i wonder whether i can enjoy the life insurance and health insurance .,today i want to invite you to talk about insurance you 're interested in .
dualencoder_train,26_0,2.4,thank you very much . i 'm looking forward to hearing from you about this job .,thank you . i wonder whether i can enjoy the life insurance and health insurance .,insurance ? what kind of insurance ?	you mean health insurance ?	i do have homeowners ' insurance and would like to discuss that .	thank you . i wonder whether i can enjoy the life insurance and health insurance .,today i want to invite you to talk about insurance you 're interested in .
hredf,26_0,2.6,what is it ?,thank you . i wonder whether i can enjoy the life insurance and health insurance .,insurance ? what kind of insurance ?	you mean health insurance ?	i do have homeowners ' insurance and would like to discuss that .	thank you . i wonder whether i can enjoy the life insurance and health insurance .,today i want to invite you to talk about insurance you 're interested in .
